(View All),(Ver Tudo),
"<span class=""h3"" style=""""><a href=""/helpdesk"">Visit Helpdesk</a></span>","<span class=""h3"" style=""""><a href=""/helpdesk"">Visitar Helpdesk</a></span>",
"<span class=""h4"">Helpdesk Configuration<br></span>","<span class=""h4"">Configuração do Helpdesk<br></span>",
A brief guide,Um breve guia,
"A favicon enhances your website by providing a small, recognizable icon that appears in browser tabs. It improves brand recognition, adds professionalism, aids navigation, establishes trust, and maintains brand consistency","Um favicon melhora o seu site ao fornecer um pequeno ícone reconhecível que aparece nas abas do navegador. Ele aumenta o reconhecimento da marca, adiciona profissionalismo, facilita a navegação, estabelece confiança e mantém a consistência da marca.",
A short description,Uma breve descrição,
API Key,Chave de API,
API Key is required,Chave de API é obrigatória,
API Secret,Segredo de API,
About,Sobre,
Access denied,Acesso Negado,
Account Name,Nome da Conta,
Account name,Nome da conta,
Account name is required,Nome da conta é obrigatório,
Action,Ação,
Action to perform when clicking the button. The doc will be available as `this`,Ação a ser realizada ao clicar no botão. O documento estará disponível como `this`.,
Actions,Ações,
Activity,Atividade,
Add,Adicionar,
Add Account,Adicionar Conta,
Add Agents,Adicionar Agentes,
Add Column,Adicionar Coluna,
Add New Customer,Adicionar Novo Cliente,
Add Sort,Adicionar Ordenação,
Add Weekly Holidays,Adicionar Feriados Semanais,
Add a comment...,Adicionar comentário...,
Add filter,Adicionar filtro,
Add member,Adicionar Membro,
Add new,Adicionar novo,
Add to Holidays,Adicionar a Feriados,
Add {0},Adicionar {0},
Agent,Agente,
Agent Configuration,Configuração de Agente,
Agent Group,Grupo do Agente,
Agent Name,Nome do Agente,
Agent {0} does not belong to team {1},Agente {0} não pertence à equipe {1},
Agents,Agentes,
Agreement status,Status de acordo,
Align Center,Alinhar no centro,
Align Left,Alinhar à esquerda,
Align Right,Alinhar à direita,
All,Tudo,
All Articles,Todos os Artigos,
All Tickets,Todos os tickets,
All tickets,Todos os tickets,
Allow Resetting SLA,Permitir reset de SLA,
Allow anyone to create tickets,Permitir que qualquer pessoa crie tickets,
Any,Qualquer,
Apply SLA for Resolution Time,Aplicar SLA para o Tempo de Resolução,
Apply To,Aplicar a,
Archived,Arquivado,
Are you sure you want to confirm this action?,Você tem certeza de que deseja confirmar esta ação?,
Are you sure you want to delete {0}? This action cannot be reversed!,Você tem certeza de que deseja excluir {0}? Esta ação não pode ser revertida!,
Are you sure you want to delete? This action can not be reversed,Você tem certeza de que deseja deletar? Esta ação não pode ser desfeita,
Article,Artigo,
Article Image,Imagem do Artigo,
Article updated,Artigo atualizado,
Articles,Artigos,
Assign,Atribuir,
Assign To,Atribuir A,
Assign to,Atribuir a,
Assigned To,Atribuído A,
Assignment,Atribuição,
Assignment Conditions,Condições de Atribuição,
Assignment Rule,Regra de Atribuição,
Assignment Rule for HD Team {0} does not exist,A Regra de Atribuição para a Equipe de HD {0} não existe,
Assignment Rules,Regras de Atribuição,
Assignment rule,Regra de atribuição,
At least one email is required,É necessário pelo menos um email,
"At-least one of priority, team and ticket type is required","Pelo menos um dos seguintes é necessário: prioridade, equipe e tipo de ticket.",
Attachment,Anexo,
Authentication failed,Autenticação falhou,
Author,Autor,
Automation,Automação,
Average Response Time,Tempo Médio de Resposta,
Avg First Response Time,Tempo Médio de Primeira Resposta,
Avg Hold Time,Tempo Médio de Espera,
Avg Resolution Time,Tempo Médio de Resolução,
Avg Response Time,Tempo Médio de Resposta,
Avg User Resolution Time,Tempo Médio de Resolução por Usuário,
Back,Voltar,
Base Support Rotation,Rotação de Suporte Base,
Base URL,URL Base,
Based On,Baseado Em,
"Based on your HR Policy, select your leave allocation period's end date","Com base na sua Política de RH, selecione a data de término do seu período de alocação de licença",
"Based on your HR Policy, select your leave allocation period's start date","Com base na sua Política de RH, selecione a data de início do seu período de alocação de licença.",
Begin with a name! 🖋️,Comece com um nome! 🖋️,
Blockquote,Citação em bloco,
Bold,Negrito,
Brand Favicon,Favicon da Marca,
Brand Logo,Logo da Marca,
Brand Logo Updated,Logo da Marca Atualizado,
Bullet List,Lista com marcadores,
Button,Botão,
Bypass restrictions,Ignorar restrições,
Can not send email. No sender email set up!,Não é possível enviar email sem remetente previamente configurado,
Cancel,Cancelar,
Canned Responses,Respostas Pré-Definidas,
Canned responses,Respostas Pré-Definidas,
Categories,Categorias,
Category,Categoria,
Category name is required,Nome da categoria é obrigatório,
Category updated,Categoria atualizada,
Change photo,Mudar foto,
Change priority to,Mudar prioridade para,
Change team to,Mudar equipe para,
Change ticket type to,Mudar tipo de ticket para,
Channels,Canais,
Choose a name that resonates with your brand and instills trust in your customers,Escolha um nome que ressoe com sua marca e transmita confiança aos seus clientes,
Choose the email service provider you want to configure.,Escolha o provedor de serviços de email que você deseja configurar.,
Clear All,Limpar tudo,
Clear Sort,Limpar Ordenação,
Clear Table,Limpar Tabela,
Clear all Filter,Limpar todos os filtros,
Clear all filter,Limpar todos os filtros,
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,Clique em Adicionar aos Feriados. Isso preencherá a tabela de feriados com todas as datas que caem nos dias de folga selecionados. Repita o processo para preencher as datas de todos os seus feriados semanais.,
Close,Fechar,
Closed,Fechado,
Closed or rated tickets cannot be updated by non-agents,Tickets fechados ou avaliados não podem ser atualizados por não-agentes.,
Closed tickets,Tickets encerrados,
Code,Código,
Collapse,Colapsar,
Color,Cor,
Column Label,Rótulo da Coluna,
Column Width,Largura da Coluna,
Columns,Colunas,
Comment,Comentário,
Comment deleted,Comentário apagado,
Commented By,Comentado Por,
Comments,Comentários,
Condition,Condição,
Confirm,Confirmar,
Contact,Contato,
Contact Created Successfully,Contato Criado com Sucesso,
Contact Creation Failed,Criação de Contato Falhou,
Contact HTML,HTML do Contato,
Contact updated,Contato atualizado,
Contact with email already exists,O contato com esse e-mail já existe.,
Contact with us,Entre em contato conosco,
Contacts,Contatos,
Content,Conteúdo,
Content Type,Tipo de Conteúdo,
Content is empty,Conteúdo é vazio,
Content is required,Conteúdo é obrigatório,
Continue,Continuar,
Copied to clipboard,Copiado para a área de transferência,
Create,Criar,
Create Canned Response,Criar Resposta Pré-Definida,
Create New Contact,Criar Novo Contato,
Created,Criado,
Created on,Criado em,
Criteria,Critério,
Criterion,Critério,
Customer,Cliente,
Customer Created Successfully,Cliente Criado com Sucesso,
Customer Name,Nome do Cliente,
Customer Name is required,Nome do cliente é obrigatório,
Customer Query Resolved,Dúvida do cliente resolvida,
Customer portal,Portal do cliente,
Customer should not be empty,Cliente não deve ficar vazio,
Customer updated,Cliente atualizado,
Customers,Clientes,
Customise your Helpdesk,Personalize seu Helpdesk,
Date,Data,
Default Inbox,Caixa de Entrada Padrão,
Default Incoming,Entrada Padrão,
Default Outgoing,Saída Padrão,
Default Priority,Prioridade Padrão,
Default SLA,SLA Padrão,
Default Sending,Envio padrão,
Default Sending and Inbox,Envio padrão e Caixa de entrada,
Default priority,Prioridade padrão,
Default template can not be deleted,Modelo padrão não pode ser excluído,
Default ticket type,Tipo de ticket padrão,
Delete,Excluir,
Delete Comment,Apagar Comentário,
Delete team,Apagar Equipe,
Description,Descrição,
Description Weight,Peso da Descrição,
Detailed explanation,Explicação detalhada,
Details,Detalhes,
"Did you know that our Helpdesk becomes even more powerful when integrated with email? With this integration, you can send and receive emails directly from your Helpdesk inbox. It streamlines communication and enhances productivity. Would you like assistance in setting up your email integration now?","Você sabia que nosso Helpdesk se torna ainda mais poderoso quando integrado ao e-mail? Com essa integração, você pode enviar e receber e-mails diretamente da sua caixa de entrada do Helpdesk. Isso otimiza a comunicação e aumenta a produtividade. Você gostaria de ajuda para configurar sua integração de e-mail agora?",
"Did you know that our Helpdesk is designed to function independently, without relying on email? Our customer portal is finely tuned to be a standalone solution, eliminating the hassle of email setup. Would you like me to disable the email workflow for you?","Você sabia que nosso Helpdesk é projetado para funcionar de forma independente, sem depender do e-mail? Nosso portal do cliente é otimizado para ser uma solução autônoma, eliminando a necessidade de configuração de e-mail. Você gostaria que eu desativasse o fluxo de trabalho de e-mail para você?",
Did you know? 💡,Você sabia? 💡,
Disable,Desabilitar,
Disabled,Desativado,
